Code_Postal;Diff_ConsoResidentiel;Diff_ConsoProfessionel;ConsoResidentielTotal;ConsoProfessionelTotal;Commune;Diff_ConsoIndustriel;ConsoIndustrielTotal;Diff_ConsoTertiaire;ConsoTertiaireTotal
01001;711.414878;269.791178;14482.106241;2767.911205;L'Abergement-Clémenciat;-43.831618;332.306137;30.534295;1464.896874
01002;919.173017;154.476247;5671.667146;994.431339;L'Abergement-de-Varey;0.000000;0.000000;0.000000;0.000000
01004;-59890.034304;-22829.903964;132912.982958;47802.615857;Ambérieu-en-Bugey;-1909.202086;30135.000861;-2843.858405;149756.816414
01006;0.000000;0.000000;0.000000;0.000000;Ambléon;0.000000;0.000000;0.000000;0.000000
01007;4164.899829;18.633512;49019.298790;8042.162213;Ambronay;-174.864527;14011.177354;867.182431;5890.644225
01008;737.949894;21.340819;16666.868049;3126.858474;Ambutrix;0.000000;0.000000;484.015675;824.905611
01009;931.452956;-14.198634;8019.497205;533.944512;Andert-et-Condon;0.000000;0.000000;-12.654403;64.332487
01010;2021.220954;122.788228;20531.928947;3228.733112;Anglefort;-39.328002;687.122875;194.594643;1454.846030
01011;192.424526;26.448445;6350.539824;924.252581;Apremont;0.000000;0.000000;0.000000;0.000000
01012;188.246600;333.394361;5779.434977;1499.740047;Aranc;-176.050957;2229.416513;13.718924;747.444963
01013;10.686821;174.753281;2456.745252;1543.813099;Arandas;0.000000;0.000000;0.000000;0.000000
01014;1840.053399;793.059830;40865.525054;22441.244896;Arbent;-35355.596173;238380.622083;-26973.912433;69427.550918
01015;774.473581;62.946671;9880.040985;713.444835;Arboys en Bugey;469.313691;593.814386;0.000000;0.000000
01016;1108.253454;-110.863578;7994.174192;1435.963571;Arbigny;57.079194;477.695148;-80.883317;632.479673
01017;-98.796315;202.922960;9732.895307;1150.207534;Argis;0.000000;0.000000;-1.670723;197.044248
01019;0.000000;0.000000;0.000000;0.000000;Armix;0.000000;0.000000;0.000000;0.000000
01022;987.193364;-19.169491;25196.454252;7229.952459;Artemare;34.596131;766.884082;655.397798;15802.339921
01023;0.000000;0.000000;0.000000;0.000000;Asnières-sur-Saône;-105.741007;265.671690;96.724296;1523.757439
01024;3762.965323;433.606926;50366.921838;7399.078300;Attignat;-348.343421;39556.474200;954.359526;45160.382446
01025;3517.279377;-375.787551;56983.977618;9568.339394;Bâgé-la-Ville;9.203160;9.203160;811.124067;5013.575331
01026;1535.136076;-103.291580;15737.154431;4564.814861;Bâgé-le-Châtel;-4.180166;575.354185;159.377812;1862.626012
01027;1647.276515;517.993940;28408.696079;7528.679898;Balan;1142.960955;15823.772132;-970.292834;19823.571228
01028;1492.786530;-20.073687;11701.204585;1189.786939;Baneins;0.000000;0.000000;0.000000;0.000000
01029;891.880647;234.709962;12276.773601;3528.158228;Beaupont;20.404642;294.833365;202.008216;3586.178557
01030;1083.936805;176.465003;13630.202953;2778.989500;Beauregard;0.000000;0.000000;-14.782067;69.955531
01031;1828.650710;-696.217881;45729.049771;17451.302689;Bellignat;-15085.138635;227723.603022;-2556.938805;44232.991714
01032;3155.545860;1154.664177;43291.432354;10363.678974;Béligneux;126.216943;16288.577422;8275.527440;60824.162054
01033;-18997.865795;-9977.376957;141116.291832;51344.032134;Bellegarde-sur-Valserine;-1488.052470;94615.633537;8639.878230;86400.946004
